Name,Rating,Director,Cast
The Godfather,9.0,Francis Ford Coppola,"Marlon Brando, Al Pacino, James Caan, Robert Duvall, Diane Keaton, John Cazale, ..."
The Godfather: Part II,8.9,Francis Ford Coppola,"Al Pacino, Robert De Niro, Diane Keaton, Robert Duvall, John Cazale, Lee Strasberg, ..."
The Godfather: Part III,7.8,Francis Ford Coppola,"Al Pacino, Diane Keaton, Talia Shire, Andy García, Eli Wallach, Joe Mantegna, ..."
The Godfather of Harlem (TV Series),6.7,"Chris Brancato (Creator), Paul Eckstein (Creator), John Ridley","Lucy Fry, Forest Whitaker, Jamaal Burcher, Vincent D'Onofrio, Giancarlo Esposito, Chazz Palminteri, ..."
Our Godfather,6.6,"Mark Franchetti, Andrew Meier",Documentary
The Black Godfather,6.3,Reginald Hudlin,"Documentary, Clarence Avant"
In Godfather's Movie,--,Cristina Iacob,"Cristian Iacob, Diana Dumitrescu, Florin Calinescu, Ion Grosu, Ana Maria Mirica"
The Last Godfather,3.2,Shim Hyung-rae,"Harvey Keitel, Shim Hyung-rae, Jason Mewes, Blake Clark, Jon Polito, Jocelin Donahue, ..."
Herschell Gordon Lewis: The Godfather of Gore,--,"Frank Henenlotter, Jimmy Maslon",Documentary
The Godfather Family: A Look Inside,7.3,Jeff Werner,"Documentary, Francis Ford Coppola, Mario Puzo, Al Pacino, Diane Keaton, Robert De Niro, ..."
The Godfather of Disco,--,Gene Graham,"Documentary, Louis Benedetti, Jellybean Benítez, Joi Cardwell, Mel Cheren, David Depino, ..."
The Godfather of Harlem,5.9,Larry Cohen,"Fred Williamson, Gloria Hendry, Art Lund, D'Urville Martin, Julius Harris, Val Avery, ..."
El padrino: The Latin Godfather,3.8,Damian Chapa,"Damian Chapa, Jennifer Tilly, Stacy Keach, Faye Dunaway, Gary Busey, Robert Wagner, ..."
The godfather of Green Bay,--,Pete Schwaba,"Tony Goldwym, Lauren Holly, Pete Schwaba, Jimmy Pardo, Lance Barber, Brian Cashen, ..."
Bonanno: A Godfather's Story (TV),6.3,Michel Poulette,"Martin Landau, Edward James Olmos, Robert Loggia, Bruce Ramsay, Guido Grasso Jr., Tony Nardi, ..."
Godfather Mendoza,7.3,"Juan Bustillo Oro, Fernando de Fuentes","Alfredo del Diestro, Carmen Guerrero, Antonio R. Frausto, Luis G. Barreiro, Joaquín Busquets, Emma Roldán, ..."
Onimasa,7.1,Hideo Gosha,"Tatsuya Nakadai, Masako Natsume, Shima Iwashita, Tetsurô Tanba, Kaori Tagasugi, Isao Natsuyagi"
Disco Music Godfather,--,J. Robert Wagoner,"Rudy Ray Moore, Carol Speed, Jimmy Lynch, Jerry Jones, Lady Reed, Frank Finn"
The Black Godfather,--,John Evans,"Rod Perry, Damu King, Don Chastain, Diane Sommerfield, Jimmy Witherspoon, Duncan McLeod, ..."
Hong Kong Godfather,--,Johnny Wang,"Leung Kar-Yan, Norman Chu, Hsu Shu-Yuan, Johnny Wang, Wayne Archer, Ken Boyle, ..."
3 Supermen Against Godfather,--,Italo Martinenghi,"Cüneyt Arkin, Salvatore Borghese, Aldo Canti, Ünsal Emre, Ali Sen, Aldo Sambrell, ..."
